Email Address,Media Source URL,1-8 word Summary,(Annotated) Screenshot,Start Time,End Time,Keywords (comma separated),Comments,Meta Level Comment?,
Anonymous 4,https://youtu.be/jZ4I4YI1j_A,hate crimes illegal in the UK,,0:06:52,,"Ableism, hate crime, UK",Creator had situations where she had the chance to report to the police. Why did she not? The fact that she mentions that she could've reported it means that the situation was pretty serious.,,Ableism
Anonymous 4,https://youtu.be/jZ4I4YI1j_A,stereotypes about disability,,0:08:07,,"Ableism, stereotype","Creator says the stereotype about disabled people has been used against her by people with and without disability. I think that this once again shows the lack of education about disabilities and the disabled community. If the people are taught to not stereotype, then the issue of discrimination could improve",,Ableism
Anonymous 4,https://youtu.be/jZ4I4YI1j_A,missing out disabilities in equality movements,,0:09:39,,"Ableism, absent, equality, movements",Mentions that disability rights are missed out on in the topic of equality. Been mentioned multiple times so far,,Ableism
Anonymous 4,https://youtu.be/jZ4I4YI1j_A,resistant to talk about it before,,0:10:35,,"Ableism, minority, speaking out",Says she felt resistant to talk about Ableism before because the disabled community is a minority group. I wonder what pushed her to bring this topic up in her channel.,,Ableism
Anonymous 4,https://youtu.be/jZ4I4YI1j_A,education is key,,0:11:17,,"education, Ableism",Ableism and other discrimination could stem from the lack of education. Then that also means that educating society of these topics could be a solution to reduce Ableism,Yes,Ableism
Anonymous 3,https://overland.org.au/previous-issues/issue-239/feature-on-hospitals/,Frantz fanon tied in,,,,"historical context, philosophy, control","""Frantz Fanon spent much of his life in hospitals, as a worker, writer, and patient. Much of Fanon’s work examined hospitals as institutions of social control, medicalising criminality, and exercising colonial powers."" Starting the document out with a famous black philosopher / physician / psychologist and influence on critical theory is a strong start - makes me think this is going to be kind of an intense read. I didn't know who Frantz Fanon was initially so had to look up his history. He argues that the ""creation of specific mental “pathologies” and “disorders”"" are a result of colonialism. I suspect ""control"" is going to be a big part of this read. Colonialism = control of countries. Mental health labeling and hospitalization result in social control. ""Medicalizing criminality,"" just another venue to control and maintain marginalized populations",,Ableism-Instituitionalism 
Anonymous 3,https://overland.org.au/previous-issues/issue-239/feature-on-hospitals/,The label 'sick',,,,"sick, label, diagnosis","creating the social conditions that enabled the diagnosis of psychiatric disorders, and in turn, the need for institutions capable of housing and controlling the ‘sick’.
just interesting that sick is in quotes. makes you stop and note that ""diagnosis"" results in a label that sort of dehumanizes folks to the point that they can be thought of and controlled as a group.",,Ableism-Instituitionalism 
Anonymous 3,https://overland.org.au/previous-issues/issue-239/feature-on-hospitals/,hospitals as government institutions,,,,institutions,"""It’s useful to recall Foucault’s famous formulation, asking whether it is surprising that prisons resemble factories, schools, barracks, hospitals, which all resemble prisons. ""
Another famous philosopher name drop early in the post.. I don't know much about Foucault. Definitely interesting that they are specifically positioning hospitals with institutions like factories, barracks and prisons so early on in the piece. Feels government mandated and large somehow, even though I generally think of hospital care more on the individual level. I guess we will be talking about hospitals as institutions?",,Ableism-Instituitionalism 
Anonymous 3,https://overland.org.au/previous-issues/issue-239/feature-on-hospitals/,Hospital as warfront,,,,"Politics, govenment, war, military","""As hospitals and aged care living centres become the frontlines in the struggle against COVID-19, now more than ever we must confront and interrogate the role these institutions play in our lives, and how we must reshape them towards the social good we need in our communities.""
Continuing the illustration of hospitals as military here with ""frontlines."" Compared earlier hospitals to barracks and government. Highly political framing. I wonder what the social good proposed is? It's a hook!",,Ableism-Instituitionalism 
Anonymous 3,https://overland.org.au/previous-issues/issue-239/feature-on-hospitals/,Failed to complete reading,,,,"emotional, hospitals","This was a really emotional read for me, I actually stopped in the middle of the close reading when it started getting real and I’m not totally sure I want to continue. I chose this reading because, like the author, I have spent much of my young adult life in and out of hospitals caring for my parents. Most recently the last several weeks with my dad, so it seemed relevant. I’ve often felt angry that my parents are always in this situation when it seems like my peers' parents are all in good health. I feel totally silly, but I’ve chalked it up to socioeconomic status and the fact that my dad is an immigrant with brown skin, a heavy accent, and a rare chronic illness. Hospital care is different for him than those I’ve cared for who are white or higher economic status. Anyway. I’ve brought this up in therapy and stuff but always just feel like I’m drawing correlations that don’t actually exist outside of my head. This is the first time I’ve read something that confirms my feelings and experiences. It was pretty powerful and emotional for me, so I think I need to give myself a break on the close reading for a few days. I do think I got a lot out of it on a personal level, so I’m glad I read it. I think it’s possible that it was so powerful to me because it was written sort of as a personal account / blog post kinda thing. I don’t think I would have had the same reaction to data, although it would still make me sad.",,Ableism-Instituitionalism 
Anonymous 4,https://vm.tiktok.com/ZMeS4v2k9/,Music Choice,,0:00:00,0:00:50,music choice,"Despite the angry nature and tone of the creator and the content, the music is bright and happy. It seems to make this video and its topic to be perceived as lighter and more approachable? The creator might have made this choice to balance the anger and the heaviness of the topic of Ableism.",,Ableism: Neurodivergent Education
Anonymous 4,https://vm.tiktok.com/ZMeS4v2k9/,explaining missed quiz because of disbility,,0:00:06,,"neurodivergent, rant, college, education, word choice","When they start to explain that they missed their quiz due to their disability, they say ""disability"" instead of the the specific name of the disability. Looking further into their account, they wrote ""neurodivergent"" in their biography, showing that they are open and comfortable with disability to the public. Before looking into their account, I thought maybe they were not comfortable with sharing information, but now I believe that this word choice may have been due to the long name or that they were trying to fit the rant into the short video.",,Ableism: Neurodivergent Education
Anonymous 4,https://vm.tiktok.com/ZMeS4v2k9/,professor says it's not too late to drop,,0:00:09,,"neurodivergent, Ableism, rant, college, education, anger, professor","They show anger at the professor's response. The professor's response is condescending, especially as his first response implies that they won't make it far in the class. To this professor, this one mistake supports his idea of how this creator will do in his class.",,Ableism: Neurodivergent Education
Anonymous 4,https://vm.tiktok.com/ZMeS4v2k9/,creator is treated like a child,,0:00:17,,"neurodivergent, rant, college, education, professor, word choice","The professor responses and belittles the creator whenever they make a make a mistake or a question. The creator also relates this situation to being treated a like a child. Do they make this comparison because they feel like they are smaller or helpless? There are other ways to describe being condescended or put down, and them deciding to compare to how a child is treated by an adult is interesting.",,Ableism: Neurodivergent Education
Anonymous 4,https://vm.tiktok.com/ZMeS4v2k9/,creator reaches out to school's facebook,,0:00:23,,"neurodivergent, rant, college, facebook group","Creator reaches out to people in the school's facebook group to see if anyone else has a similar experience with this professor. Not many people do, which kind of surprised me but also didn't. I was surprised because I had expected there to be some people with this kind of experience, but then I also don't really know the statistics of how many people with disability are in that school/class. And I was not surprised because not all disabled people would've taken that class and also because there might some people who are ashamed/embarrassed to share their story.",,Ableism: Neurodivergent Education
Anonymous 4,https://vm.tiktok.com/ZMeS4v2k9/,another student with similar experience,,0:00:30,,"neurodivergent, rant, college, similar experience, Ableism","Another female disabled student states that she had a similar experience, where the professor was rude to her and only her. The fact this professor treated only this student in this manner seems to support that the professor has ableist sentiments",,Ableism: Neurodivergent Education
Anonymous 4,https://vm.tiktok.com/ZMeS4v2k9/,to let go or to report,,0:00:38,,"neurodivergent, rant, college, report","Creator debates on whether or not to report to the head of department and office of disabilities. Personally, I think that I would support them reporting, but at the same time, it seems like they were able to get only that one female disabled student's experience. This might not be enough experiences of students to effectively complain about this professor.",,Ableism: Neurodivergent Education
Anonymous 4,https://vm.tiktok.com/ZMeS4v2k9/,office of disabilities,,0:00:41,,"office of disabilities, ironic","It seems ironic that this school has an Office of Disabilities, and yet this professor still acts this way, which points to the fact that the office has not yet action for this professor's behavior. Has no student or other staff reported the professor? I wonder why.",,Ableism: Neurodivergent Education
Anonymous 4,https://vm.tiktok.com/ZMeS4v2k9/,misogynistic and ableist professors,,0:00:46,,"neurodivergent, rant, college, misogynistic, Ableism","For the first time, they mention misogynism. Not surprised, as misogynism still unfortunately common today. But they probably mention this as the other student was female and because of prior experiences.",,Ableism: Neurodivergent Education
Anonymous 4,https://vm.tiktok.com/ZMeS4v2k9/,getting away with it,,0:00:47,,"getting away, Ableism, professors, misogynism","It angers me to see that professors are getting away with this unfair treatment, especially in a setting where all students should be supported throughout their academic career. How hard can it be to refrain from saying those comments or giving out fair grades?",,Ableism: Neurodivergent Education
Anonymous 4,https://vm.tiktok.com/ZMeS4v2k9/,treating disabled students like they're unintelligent,,0:00:48,,"Ableism, college, education, professors, stereotypes",Stereotypes about people with disabilities being unintelligent seems to play a big part of in this situation. If only there was a way to break this stereotype for good.,,Ableism: Neurodivergent Education
Anonymous 4,https://vm.tiktok.com/ZMeS4v2k9/,mentions misogynistic but then does not later,,0:00:50,,word choice,"Creator mention misogynistic and ableist professor, but then also not mentions misogynism in her later sentences. I wonder why she chooses to only mention misogynism for a short period of time. Is it because of the time crunch on their video or did they think that the Ableism plays a bigger part in this situation?",,Ableism: Neurodivergent Education
Anonymous 4,https://vm.tiktok.com/ZMeS4v2k9/,states the class and their grade,,,0:00:12,"neurodivergent, rant, college, education, word choice","Creator states what class and that they are graduating this year. They say this in a short sentence with a hard tone. I think this shows a level of anger and frustration as they were being put down in when they are more than capable in this class and that they just made one mistake. This is an unfair situation that can happen to anyone, and I'm not sure if the professor even knew that they missed the quiz because their disability was acting up.",,Ableism: Neurodivergent Education
Anonymous 4,https://vm.tiktok.com/ZMeS4v2k9/,sick and tired of these experiences,,,0:00:44,"neurodivergent, rant, tired, tone","Saying that they are sick and tired, showing that this isn't the first time they had gone through this. Their voice sound strained as they say this and I could feel their anger as they emphasize ""sick"" and ""tired"". They shouldn't have to experience this in an academic setting and be treated fairly.",,Ableism: Neurodivergent Education
